"id","chrono","period"
"B0311","ENE0","p4.4"
"B0311","ENE0","p4.2"
"B0311","ENE0","p4.0"
"B0312","LgK2","p4.6"
"B0312","LgK2","p4.4"
"B0318","ENE0","p4.4"
"B0318","ENE0","p4.2"
"B0318","ENE0","p4.0"
"B0322","SBK2","p4.8"
"B0326","ENE0","p4.4"
"B0326","ENE0","p4.2"
"B0326","ENE0","p4.0"
"B0327","SBK2","p4.8"
"B0328","SBK2","p4.8"
"B0329","ENE0","p4.4"
"B0329","ENE0","p4.2"
"B0329","ENE0","p4.0"
"B0330","TRB2","p3.6"
"B0330","TRB2","p3.4"
"B0332","SBK1","p5.0"
"B0332","SBK1","p4.8"
"B0332","SBK2","p4.8"
"B0332","ENE0","p4.4"
"B0332","ENE0","p4.2"
"B0332","ENE0","p4.0"
"B0336","ENE0","p4.4"
"B0336","ENE0","p4.2"
"B0336","ENE0","p4.0"
"B0338","LgK2","p4.6"
"B0338","LgK2","p4.4"
"B0339","SBK2","p4.8"
"B0339","ENE0","p4.4"
"B0339","ENE0","p4.2"
"B0339","ENE0","p4.0"
"B0339","TRB1","p3.8"
"B0339","TRB2","p3.6"
"B0339","TRB2","p3.4"
"B0340","ENE0","p4.4"
"B0340","ENE0","p4.2"
"B0340","ENE0","p4.0"
"B0341","SBK2","p4.8"
"B0341","TRB1","p3.8"
"B0344","TRB2","p3.6"
"B0344","TRB2","p3.4"
"B0346","TRB2","p3.6"
"B0346","TRB2","p3.4"
"B0349","LgK2","p4.6"
"B0349","LgK2","p4.4"
"B0351","SBK1","p5.0"
"B0351","SBK1","p4.8"
"B0353","SBK2","p4.8"
"B0353","LgK2","p4.6"
"B0353","LgK2","p4.4"
"B0355","ENE0","p4.4"
"B0355","ENE0","p4.2"
"B0355","ENE0","p4.0"
"B0359","LgK2","p4.6"
"B0359","LgK2","p4.4"
"B0359","ENE0","p4.4"
"B0359","ENE0","p4.2"
"B0359","ENE0","p4.0"
"B0360","SBK2","p4.8"
"B0362","ENE0","p4.4"
"B0362","ENE0","p4.2"
"B0362","ENE0","p4.0"
"B0366","SBK2","p4.8"
"B0371","ENE0","p4.4"
"B0371","ENE0","p4.2"
"B0371","ENE0","p4.0"
"B0372","SBK1","p5.0"
"B0372","SBK1","p4.8"
"B0372","SBK2","p4.8"
"B0375","SBK1","p5.0"
"B0375","SBK1","p4.8"
"B0375","SBK2","p4.8"
"B0378","ENE0","p4.4"
"B0378","ENE0","p4.2"
"B0378","ENE0","p4.0"
"B0382","ENE0","p4.4"
"B0382","ENE0","p4.2"
"B0382","ENE0","p4.0"
"B0388","SBK2","p4.8"
"B0390","LgK2","p4.6"
"B0390","LgK2","p4.4"
"B0394","ENE0","p4.4"
"B0394","ENE0","p4.2"
"B0394","ENE0","p4.0"
"B0395","TRB2","p3.6"
"B0395","TRB2","p3.4"
"B0396","TRB1","p3.8"
"B0398","SBK2","p4.8"
"B0399","SBK2","p4.8"
"B0400","SBK2","p4.8"
"B0401","SBK2","p4.8"
"B0402","SBK2","p4.8"
"B0403","SBK2","p4.8"
"B0404","SBK2","p4.8"
"B0405","SBK1","p5.0"
"B0405","SBK1","p4.8"
"B0405","SBK2","p4.8"
"B0405","LgK2","p4.6"
"B0405","LgK2","p4.4"
"B0406","SBK2","p4.8"
"B0407","SBK1","p5.0"
"B0407","SBK1","p4.8"
"B0407","SBK2","p4.8"
"B0407","LgK2","p4.6"
"B0407","LgK2","p4.4"
"B0408","SBK1","p5.0"
"B0408","SBK1","p4.8"
"B0410","ENE0","p4.4"
"B0410","ENE0","p4.2"
"B0410","ENE0","p4.0"
"B0414","LgK2","p4.6"
"B0414","LgK2","p4.4"
"B0415","LgK2","p4.6"
"B0415","LgK2","p4.4"
"B0417","ENE0","p4.4"
"B0417","ENE0","p4.2"
"B0417","ENE0","p4.0"
"B0422","SBK2","p4.8"
"B0425","LgK2","p4.6"
"B0425","LgK2","p4.4"
"B0426","SBK2","p4.8"
"B0426","LgK2","p4.6"
"B0426","LgK2","p4.4"
"B0427","SBK2","p4.8"
"B0428","SBK2","p4.8"
"B0429","SBK2","p4.8"
"B0429","LgK2","p4.6"
"B0429","LgK2","p4.4"
"B0430","SBK2","p4.8"
"B0431","SBK2","p4.8"
"B0432","SBK2","p4.8"
"B0433","SBK2","p4.8"
"B0433","ENE0","p4.4"
"B0433","ENE0","p4.2"
"B0433","ENE0","p4.0"
"B0434","ENE0","p4.4"
"B0434","ENE0","p4.2"
"B0434","ENE0","p4.0"
"B0437","SBK2","p4.8"
"B0444","SBK1","p5.0"
"B0444","SBK1","p4.8"
"B0444","ENE0","p4.4"
"B0444","ENE0","p4.2"
"B0444","ENE0","p4.0"
"B0445","SBK2","p4.8"
"B0446","LgK2","p4.6"
"B0446","LgK2","p4.4"
"B0448","SBK2","p4.8"
"B0449","SBK2","p4.8"
"B0451","LgK2","p4.6"
"B0451","LgK2","p4.4"
"B0453","LgK2","p4.6"
"B0453","LgK2","p4.4"
"B0455","SBK2","p4.8"
"B0456","SBK1","p5.0"
"B0456","SBK1","p4.8"
"B0456","LgK2","p4.6"
"B0456","LgK2","p4.4"
"B0458","SBK1","p5.0"
"B0458","SBK1","p4.8"
"B0459","SBK2","p4.8"
