"id","chrono","period"
"B0242","TRB","p3.4"
"B0243","SBK","p5.0"
"B0243","SBK","p4.8"
"B0244","SBK","p5.0"
"B0244","SBK","p4.8"
"B0244","ENE","p4.4"
"B0244","ENE","p4.2"
"B0244","ENE","p4.0"
"B0244","TRB","p3.8"
"B0244","TRB","p3.6"
"B0244","TRB","p3.4"
"B0245","LgK","p4.6"
"B0245","LgK","p4.4"
"B0246","SBK","p5.0"
"B0246","SBK","p4.8"
"B0247","SBK","p5.0"
"B0247","SBK","p4.8"
"B0248","SBK","p5.0"
"B0248","SBK","p4.8"
"B0249","SBK","p5.0"
"B0249","SBK","p4.8"
"B0249","ENE","p4.4"
"B0249","ENE","p4.2"
"B0249","ENE","p4.0"
"B0250","SBK","p5.0"
"B0250","SBK","p4.8"
"B0250","TRB","p3.8"
"B0250","TRB","p3.6"
"B0250","TRB","p3.4"
"B0251","SBK","p5.0"
"B0251","SBK","p4.8"
"B0252","SBK","p5.0"
"B0252","SBK","p4.8"
"B0253","SBK","p5.0"
"B0253","SBK","p4.8"
"B0254","SBK","p5.0"
"B0254","SBK","p4.8"
"B0255","ENE","p4.4"
"B0255","ENE","p4.2"
"B0255","ENE","p4.0"
"B0255","TRB","p3.8"
"B0255","TRB","p3.6"
"B0255","TRB","p3.4"
"B0256","LgK","p4.6"
"B0256","LgK","p4.4"
"B0256","ENE","p4.4"
"B0256","ENE","p4.2"
"B0256","ENE","p4.0"
"B0257","SBK","p5.0"
"B0257","SBK","p4.8"
"B0258","SBK","p5.0"
"B0258","SBK","p4.8"
"B0259","SBK","p5.0"
"B0259","SBK","p4.8"
"B0260","SBK","p5.0"
"B0260","SBK","p4.8"
"B0261","SBK","p5.0"
"B0261","SBK","p4.8"
"B0262","SBK","p5.0"
"B0262","SBK","p4.8"
"B0262","TRB","p3.8"
"B0262","TRB","p3.6"
"B0262","TRB","p3.4"
"B0264","ENE","p4.4"
"B0264","ENE","p4.2"
"B0264","ENE","p4.0"
"B0265","TRB","p3.8"
"B0265","TRB","p3.6"
"B0265","TRB","p3.4"
"B0266","SBK","p5.0"
"B0266","SBK","p4.8"
"B0267","SBK","p5.0"
"B0267","SBK","p4.8"
"B0268","TRB","p3.8"
"B0268","TRB","p3.6"
"B0268","TRB","p3.4"
"B0269","SBK","p5.0"
"B0269","SBK","p4.8"
"B0269","TRB","p3.8"
"B0269","TRB","p3.6"
"B0269","TRB","p3.4"
"B0270","SBK","p5.0"
"B0270","SBK","p4.8"
"B0271","SBK","p5.0"
"B0271","SBK","p4.8"
"B0272","SBK","p5.0"
"B0272","SBK","p4.8"
"B0273","SBK","p5.0"
"B0273","SBK","p4.8"
"B0274","SBK","p5.0"
"B0274","SBK","p4.8"
"B0275","TRB","p3.8"
"B0275","TRB","p3.6"
"B0275","TRB","p3.4"
"B0276","TRB","p3.8"
"B0276","TRB","p3.6"
"B0276","TRB","p3.4"
"B0277","SBK","p5.0"
"B0277","SBK","p4.8"
"B0277","TRB","p3.8"
"B0277","TRB","p3.6"
"B0277","TRB","p3.4"
"B0278","SBK","p5.0"
"B0278","SBK","p4.8"
"B0279","SBK","p5.0"
"B0279","SBK","p4.8"
"B0279","LgK","p4.6"
"B0279","LgK","p4.4"
"B0279","ENE","p4.4"
"B0279","ENE","p4.2"
"B0279","ENE","p4.0"
"B0279","TRB","p3.8"
"B0279","TRB","p3.6"
"B0279","TRB","p3.4"
"B0280","SBK","p5.0"
"B0280","SBK","p4.8"
"B0281","SBK","p5.0"
"B0281","SBK","p4.8"
"B0282","TRB","p3.8"
"B0282","TRB","p3.6"
"B0282","TRB","p3.4"
"B0283","SBK","p5.0"
"B0283","SBK","p4.8"
"B0284","SBK","p5.0"
"B0284","SBK","p4.8"
"B0285","SBK","p5.0"
"B0285","SBK","p4.8"
"B0286","SBK","p5.0"
"B0286","SBK","p4.8"
"B0287","SBK","p5.0"
"B0287","SBK","p4.8"
"B0287","TRB","p3.8"
"B0287","TRB","p3.6"
"B0287","TRB","p3.4"
"B0288","LgK","p4.6"
"B0288","LgK","p4.4"
"B0288","ENE","p4.4"
"B0288","ENE","p4.2"
"B0288","ENE","p4.0"
"B0289","LgK","p4.6"
"B0289","LgK","p4.4"
"B0289","ENE","p4.4"
"B0289","ENE","p4.2"
"B0289","ENE","p4.0"
"B0290","SBK","p5.0"
"B0290","SBK","p4.8"
"B0291","TRB","p3.8"
"B0291","TRB","p3.6"
"B0291","TRB","p3.4"
"B0292","SBK","p5.0"
"B0292","SBK","p4.8"
"B0292","TRB","p3.8"
"B0292","TRB","p3.6"
