"id","orig_id","site"
"B0261","ADC-16123","Kšely-dům č.p.7"
"B0262","HK-1129","Kukleny-škola"
"B0264",NA,"Kunratice-Nový hrad"
"B0265","KH-MA-1132","Kutná Hora-Cimburk"
"B0266","P-1332-00575","Kutná Hora-Karlov"
"B0267","P-1332-00581","Kutná Hora-Školní ul."
"B0268","ADC-30637","Kutná Hora-Dänemark"
"B0269","P-1332-00216","Kutná Hora-Stará cihelna"
"B0270","P-1313-00871","Květnice-Za mlýnem"
"B0271","P-1313-00967","Květnice-Bedrníková ul."
"B0272",NA,"Květnice-Na Ladech"
"B0273","P-1342-00433","Lány u Bylan-Mezi mlýny"
"B0274","P-1342-00435","Lány u Bylan-"
"B0275","P-1324-00303","Lázně Bohdaneč-Na kozlíčku"
"B0276","P-1324-00005","Lázně Bohdaneč-Dobrá"
"B0277","P-1313-00926","Lázně Toušeň-Nad tratí"
"B0278","ADC-15388; ADC-15389; P-1312-00099","Lázně Toušeň-Na hradisku"
"B0279","P-1313-00537","Lázně Toušeň-Jandova cihelna"
"B0280","P-1224-01534","Letňany-Beranových"
"B0281","XLS-1121","Lhota u Dolních Břežan- dům č. 46"
"B0282","P-1242-00167","Lhota u Dolních Břežan-Hradiště"
"B0283","DUPL_OS_5004; P-1312-00101; P-1312-00067; P-1312-00008","Libáň-"
"B0284","P-1312-00025; P-1312-00026","Libáň-"
"B0285","P-1324-00037","Libčany-"
"B0286","HK-1137; HK-1136","Libčany-intravilán"
"B0287","AA1211","Libeň-Libušák"
"B0288","AA1221","Libeň-Na Košince"
"B0289",NA,"Libeň-Okrouhlík"
"B0290","AA1225","Libeň-Balabenka"
"B0291","AA1217","Libeň-Na Žertvách"
"B0292","P-1332-00319;P-1332-00369;","Libenice-Velký kus"
"B0293",NA,"Líbeznice-obchvat"
"B0294","P-1222-00050","Libiš-"
"B0295","ADC-09862","Libiš-"
"B0296","P-1324-00275; P-1324-00313; P-1324-00274; P-1324-00238; P-1324-00240; P-1324-00239; P-1324-00245; P-1324-00211; P-1324-00217; P-1324-00216; P-1324-00210; P-1324-00171; ADC-15994","Libišany-"
"B0297","PB-1196","Libišany-Na bahnech"
"B0298","PB-1194","Libišany-"
"B0299","P-1324-00173; P-1324-00083; P-1324-00129; P-1324-00128","Libišany-Na nivách"
"B0300","P-0334-00274","Libošovice-"
"B0301","P-1313-00212","Limuzy-"
"B0302","RK-7054","Lípa nad Orlicí-Písník k Rašovicím"
"B0303",NA,"Litíč-Za kravínem"
"B0304","P-1322-00075","Litíč-"
"B0305","OT-7017","Litíč-K Vestci"
"B0306","P-1322-00102","Lochenice_cihelna"
"B0307",NA,"Lochenice-V polích"
"B0308","ADC-15876","Lochenice_rozšiřování trati"
"B0309","ADC-15877; ADC-15877;","Lochenice-Za humny k Předměřicícm"
"B0310",NA,"Lochenice-intravilán"
"B0311","P-1322-00386; P-1322-00255; HK-7024; ADC-15932","Lochenice-Na šancích"
"B0312",NA,"Lochenice-SV okraj obce"
"B0313","HK-1151","Lochenice-"
"B0314","P-1322-00088","Lochenice-"
"B0316",NA,"Loučeň-"
"B0317","P-1332-00397","Malín-u vepřína"
"B0318","JV-1267","Malotice-Za zahradami"
"B0319",NA,"Máslojedy"
"B0320","P-1322-00171","Máslojedy"
"B0321","P-1224-01004; AN – 1058","Máslovice-Na dole"
"B0322",NA,"Mašov u Turnova-Valdštejnsko"
"B0323","AN/NB – 1134","Mcely-Na Kamenci"
"B0324","P-1411-00037","Mělčany u Dobrušky-Chlum"
"B0325",NA,"Měšice u Prahy-"
"B0326",NA,"Michle- pískovna"
"B0327",NA,"Mikulovice u Pardubic"
"B0328","P-1342-00387","Mikulovice u Pardubic-ul.V loučkách"
"B0329","PB-1195","Mikulovice u Pardubic-Kašparova cihelna"
"B0330","P-1321-00301","Milíčeves-Zámecká zahrada"
"B0331","P-1321-00180","Milíčeves-intravilán"
"B0332","ADC-15744; P-1321-00048","Milovice u Hořic-Nad vorlem"
"B0333","P-0333-00041","Mladá Boleslav-Jičínská ul."
"B0334","P-0333-00122","Mladá Boleslav-u Dolanského statku"
"B0335","P-0333-00016; P-0333-00024","Mladá Boleslav-Staroměstské nám."
"B0336",NA,"Mlékovice-zaharada p. Novotného"
"B0337","P-0333-00044","Mnichovo Hradiště-Nad maliním"
"B0338",NA,"Močovice-U studánky"
"B0339","KH-MA-1043","Močovice-První Lochovsko"
"B0340","KH-MA-1042","Močovice-Na trnince"
"B0341","P-1341-00005","Močovice-Na kopě"
"B0342",NA,"Modřany-K vystrkovu"
"B0343","AA1070","Modřany-Andělova ul."
"B0344","P-1313-00070; ADC-15452","Mochov-Na Nehvizdku"
"B0345","P-1313-00488","Mochov-Nad domkem"
"B0346","P-1313-00486","Mochov-obecní pískovna u Obory"
"B0347","P-1224-01393","Mratín-Nový Mratín"
"B0348","P-1313-00055; P-1313-00714; ADC-15505","Mrzky-Nad vsí"
"B0349","JV-1269","Mrzky-U kamenného kříže"
"B0351","P-0334-00343","Nadslav-Na vrších"
"B0352","NA-JT-1156","Nahořany nad Metují-"
"B0353","ADC-16508; ADC-16503","Nebovidy-Zádušní pole"
"B0354",NA,"Nebovidy-"
"B0355","ADC-09871","Neratovice-Spolana"
"B0356","P-1321-00154","Nevratice-Na Zádušníku"
"B0357","NA-JT-7070","Neznášov"
"B0358","ADC-15780","Neznášov"
"B0359","ADC-16467","Nová Ves I-Ohrada"
"B0360",NA,"Nová Ves I-S od obce pri polni ceste k Labi"
"B0361","ADC-15706","Nová Ves I-zahrada domu č.p. 25"
"B0362","ADC-15705","Nová Ves I-obecní hliník"
"B0363","P-1332-00233","Nové Dvory u Kutné Hory-V bojišti"
"B0364","P-1332-00044","Nové Dvory u Kutné Hory-V prostředních lukách"
"B0365",NA,"Nový Bydžov-severní úpatí Chlumu"
"B0366","P-1321-00068","Nový Bydžov-Schnablova cihelna"
"B0367","P-1321-00204","Nový Bydžov-Mlýniště"
"B0368","P-1314-00337; P-1314-00265; P-1314-00267; AN/NB – 5002; P-1314-00037; AN/NB – 1164; AN/NB – 1372","Nymburk-Kostelní nám."
"B0369",NA,"Nymburk-"
"B0370","P-1314-00205","Nymburk-Velké valy"
"B0371","AN/NB – 1158","Nymburk- seřazovací nádraží"
"B0372",NA,"Obruby-"
"B0373","P-1222-00293","Obříství-U Talicha"
"B0374","P-1222-00034","Obříství-Svatopluka Čecha"
"B0375",NA,"Obříství-Na Tarase"
"B0376","AN – 1173","Odolena Voda-Velký háj"
"B0377","PD-JC-1153","Ohaveč-"
"B0378","P-1242-00121","Ohrobec-Nad Úvozem"
"B0379","ML-1180","Olšina-Kurovodice"
"B0381",NA,"Opatovice nad Labem-V Dílcích"
"B0382","ADC-30945","Opolánky-Staré Badry"
"B0383",NA,"Osnice-U Herinku"
"B0384","ADC-14781; P-1242-00033; ADC-14782","Osnice-Na Vrbici"
"B0385","P-1321-00187; P-1321-00160; P-1321-00138","Ostroměř-Starohorská ul."
"B0386","P-1321-00019","Ostrov v Podkrkonoší"
"B0387","P-1321-00027","Ostrov v Podkrkonoší-Pod kazatelnou"
"B0388","PB-1077","Pardubice-V úzkém"
"B0389",NA,"Pašinka-U hřiště"
"B0390","JV-1281","Pašinka-Na stráních"
"B0391","P-1332-00151","Perštejnec"
"B0392","OS_P0_77007; P-1242-00061; P-1242-00062","Petrovice-Dobrá Voda"
"B0393",NA,"Pitkovice-Nové Pitkovice"
