"id","orig_id","site"
"M0400","34-23-13/2","Charvátská Nová Ves-Líbivá"
"M0401","24-24-04/8, 19","Charváty-hliník"
"M0402",NA,"Cholina-Horní farské"
"M0403","24-22-06/3","Cholina-školní zahrada"
"M0404","24-21-01/13; 24-21-01/12","Chornice 2c"
"M0405","24-21-06/21","Chornice-Kelinky"
"M0406","24-21-06/1","Chornice-Pod hušákem"
"M0407","24-22-02/5","Chořelice-Nad hliníkem"
"M0408","24-22-02/1","Chořelice-za Teslou"
"M0409","24-14-05/22","Chrudichromy-Čtvrti"
"M0410","FT155","Chudčice-intavilán"
"M0411","FT14","Chudčice-U dubu"
"M0412","33-22-12/1","Chvalatice-Růžový kopec"
"M0413","24-24-19/15","Ivaň na Hané-Nivky"
"M0414","24-34-11/10","Ivančice-cihelna"
"M0415","FT350","Ivančice-Dolní Špýry"
"M0416",NA,"Ivančice-Knížecí les"
"M0417",NA,"Ivančice-Loučky"
"M0418",NA,"Ivančice-Mřenková ul."
"M0419","FT295","Ivančice-Nové hory"
"M0420","FT98","Ivančice-Panovského cihelna"
"M0421","24-42-12/15","Ivanovice na Hané-Padělky za cihelnou"
"M0422","24-42-07/15","Ivanovice na Hané-Spravedlnost"
"M0423",NA,"Ivanovice na Hané-U Chvalkovic"
"M0424","24-42-12/17","Ivanovice na Hané-Za střediskem"
"M0425","24-32-19/9","Ivanovice-Pod Habřím"
"M0426","24-14-10/25","Jabloňany-kravín"
"M0427","24-14-15/9","Jabloňany-Sedliska"
"M0428",NA,"Jakubov-Pri starom mlyne"
"M0429",NA,"Jakubov-Prostredné pole"
"M0430",NA,"Jamolice-Čertova hráz"
"M0431","FT353","Jamolice-Hájky"
"M0432",NA,"Jarohněvice-Rozdíly"
"M0433","23-44-19/5","Jaroměřice nad Rokytnou-Kopanina"
"M0434","23-44-19/4","Jaroměřice nad Rokytnou-Niva pod dráhou"
"M0435","FT355","Jaroměřice nad Rokytnou-Spolek"
"M0436","23-44-14/7","Jaroměřice nad Rokytnou-Štěpánovská trať"
"M0437","23-44-14/1","Jaroměřice nad Rokytnou-V košíkovém"
"M0438","23-44-19/4","Jaroměřice nad Rokytnou-Za forotou"
"M0439","FT123","Jaroměřice nad Rokytnou-Žabík"
"M0440","24-21-12/7","Jaroměřice-Čtvrtě pod hájky"
"M0441","24-21-12/2; 24-21-12/5","Jaroměřice-Na hójezdech"
"M0442","564; 635","Jedenspeigen-Bahnfeld"
"M0443",NA,"Jedenspeigen-Dammfeld"
"M0444","0","Jedenspeigen-Östlich des Dammfeldes"
"M0445","567","Jedenspeigen-Schafhofbreiten"
"M0446",NA,"Jedenspeigen-Schafhofbreiten"
"M0447",NA,"Jedenspeigen-Wimmerauwiesen"
"M0448",NA,"Jemnice-Nad Jandovem"
"M0449","33-21-04/4","Jemnice-Nad Týnicí"
"M0450",NA,"Jemnice-Padělky za šibenicí"
"M0451",NA,"Jemnice-Široké"
"M0452","24-14-20/12","Jestřebí-Hrubé dílce"
"M0453","583","Jetzelsdorf-Fundstelle 1"
"M0454","589","Jetzelsdorf-Rabenberg"
"M0455",NA,"Jevíčko-předměstí 19"
"M0456","FT475","Jevišovice-Na příčných"
"M0457",NA,"Jevišovka-Nová ul."
"M0458","24-44-24/11","Ježov-Díly"
"M0459","FT278","Jinačovice-Klínky"
"M0460","FT138","Jinačovice-Za sýčkami"
"M0461","33-22-04/16","Jiřice u Moravských Budějovic-Na širokých"
"M0462","33-22-04/15","Jiřice u Moravských Budějovic-Pod Borovým"
"M0463","24-43-02/57","Jiříkovice-Díly"
"M0464","24-32-24/19","Jundrov-Optátova"
"M0465","24-32-23/15","Jundrov-U jezírka"
"M0466","FT396","Kadov-zahrada J. Šidla"
"M0468",NA,"Kdousov-U Cihelny"
"M0469",NA,"Kdousov-U Křížku"
"M0470",NA,"Kelč-Staré Město-Pod Šibenky"
"M0471","685","Kettlasbrunn-Mistelbacher Breiten"
"M0472","759","Kettlasbrunn-Opersdorferfeld"
"M0473","24-33-08/3","Kladeruby nad Oslavou-Na vlčinském"
"M0474","25-13-09/12","Kladníky-Záhumenky"
"M0475","246","Kleinhadersdorf-Bockfeld"
"M0476","1045","Kleinhadersdorf-In Gründen"
"M0477","450","Kleinhöflein-Kühlüssen"
"M0478","495","Kleinsierndorf-Ratscherberg"
"M0479","24-24-19/8","Klenovice na Hané-Kolečkářky"
"M0480","24-24-19/5","Klenovice na Hané-Louky za Ovčinou"
"M0481","24-24-19/7","Klenovice na Hané-Noviny"
"M0482","24-24-19/6","Klenovice na Hané-Zábraní"
"M0483","FT362","Klentnice- Länger Acker"
"M0484","34-12-25/16","Klentnice-Hirschwald"
"M0485",NA,"Klentnice-Stará hora"
"M0486","34-14-05/12","Klentnice-Za kovárnou"
"M0487","FT234","Kloboučky-Padělky za humny"
"M0488","24-44-06/11","Kloboučky-Za školou"
"M0489","34-21-08/1","Klobouky u Brna-Hradisko"
"M0490","FT69","Klobouky u Brna-Novosady"
"M0491","FT68","Klobouky u Brna-Za psinky"
"M0492","14-44-06/1","Klopina-Na lánech"
"M0493",NA,"Klopina- U Křemelice"
"M0494","FT39","Kniníčky-Sokolské koup."
"M0495","24-32-18/5","Kniníčky-U luhu"
"M0496","FT28","Kniníčky-U tří křížů"
"M0497","24-43-19/4","Kobeřice u Brna-Čtvrtě"
"M0498","24-43-19/1","Kobeřice u Brna-Nová pole"
"M0499","24-24-22/27","Kobeřice-Padělky"
"M0500","34-21-13/6","Kobylí na Moravě-Lumperky"
"M0501","34-21-14/12","Kobylí na Moravě-U jezera"
"M0502","24-43-07/13","Kobylnice u Brna-Rozdíly"
"M0503",NA,"Kobylnice u Brna-Rybníky"
"M0504",NA,"Kobylničky-Kozlének"
"M0505","FT112","Kohoutovice-Na široké"
"M0506","FT441","Kojatice-Smilová"
"M0507",NA,"Kojetín-Babiny"
"M0508",NA,"Kojetín-Kroměřížská"
"M0509","24-42-05/4","Kojetín-Nad Křenovskou lávkou"
"M0510","25-13-06/4","Kokory-Zákostelky"
"M0511",NA,"Količín-Šeblínek"
"M0512",NA,"Količín-Újezd"
"M0513","24-32-19/1","Komín-Kouty"
"M0514","24-32-24/17","Komín-Luhy"
"M0515","24-32-24/7","Komín-Nivy"
"M0516","24-32-19/3","Komín-Padělky u Medlánek"
"M0517","24-32-24/9","Komín-Pod vinohrady"
"M0518","FT283","Komořany na Moravě-U cihelny"
"M0519","24-33-23/6","Kordula-Na jitrech"
"M0520",NA,"Kostelany nad Moravou-Roztoky"
"M0521","24-24-01/26","Kostelec na Hané-K Čelechovicím"
"M0522","24-24-01/26","Kostelec na Hané-Kozí brada"
"M0523","24-24-01/8,10","Kostelec na Hané-Niva"
"M0524","24-24-01/21","Kostelec na Hané-Prostřední pololány"
"M0525",NA,"Kostelec na Hané-Srážka"
"M0526","24-24-02/7, 24-24-02/8","Kostelec na Hané-Trnka"
"M0527","24-24-01/22","Kostelec na Hané-Za cihelnou"
"M0528","FT73","Kostice-Louky u lesa"
"M0529","33-21-15/4","Kostníky-Jezevčiny"
"M0530","33-21-10/5","Kostníky-Sedliště"
"M0531",NA,"Kostolište-Piesočné"
"M0532","24-42-01/21","Kotáry-Chochola"
"M0533","24-42-01/15","Kotáry-Melice"
"M0534","FT181","Kounické Předměstí-Réna"
"M0536",NA,"Koválov-Chrasci"
"M0537",NA,"Koválov-Koválovca"
"M0538",NA,"Koválov-Okrušky od Unína"
"M0539",NA,"Koválov-Vinohrádky"
"M0540","FT222","Kovalovice-Díly"
"M0541","24-43-03/1","Kovalovice-Na rovinách"
"M0542","24-33-02/2","Kozlany-Hošťálky"
"M0543","24-24-08/6","Kralice na Hané-Kralický háj"
"M0544",NA,"Kralice na Hané-Noviny"
"M0545","FT270","Kralice nad Oslavou-Klínky"
"M0546","FT271","Kralice nad Oslavou-Pivovárky"
"M0547","FT269","Kralice nad Oslavou-Posměch"
"M0548","14-44-16/1","Králová-kóta 272"
"M0549","14-44-16/2","Králová-u silnice do Benkova"
"M0550","24-32-24/2","Královo Pole-Božetěchova"
"M0551","FT325","Královo Pole-Kulhan"
"M0552","24-41-23/11","Královopolské Vážany-Horka"
"M0553","24-33-08/5","Kramolín-Babské díly"
"M0554","24-33-07/4","Kramolín-Hradisko"
"M0555","24-24-11/15","Krasice-Kopaniny"
"M0556","24-24-12/14","Krasice-U hřbitova"
"M0557","FT125","Kravsko-Hradiště"
"M0558","33-22-20/1","Kravsko-Mastník"
"M0559",NA,"Kroměříž-Kotojedská"
"M0560","25-31-06/12","Kroměříž-Újezd u svatého Františka"
"M0561",NA,"Kroměříž-Velehradská"
"M0562","24-24-11/4","Krumsín-Kněží hora"
"M0563","24-23-15/10","Krumsín-Na Mokři"
"M0564","24-22-18/7","Křelov-Za chaloupkami"
"M0565","14-43-14/5","Křemačov-Strinberg"
"M0566","24-21-19/8","Křemenec-Pod dědinou"
"M0567","24-42-10/1","Křenovice u Kojetína-Hradisko"
"M0568","24-42-10/2","Křenovice u Kojetína-Koráb"
"M0569",NA,"Křenovice u Kojetína-Vinice"
"M0570","24-43-08/9","Křenovice u Slavkova-Dolní nádr."
"M0571","24-43-08/21","Křenovice u Slavkova-u trati"
"M0572","24-43-08/5","Křenovice u Slavkova-Zelnice"
"M0573","34-21-01/9","Křepice u Hustopečí-intravilán"
"M0574","34-21-01/11","Křepice u Hustopečí-Záhumenice"
"M0575","FT126","Křepice-Čtvrtky"
"M0576","34-11-07/1","Křepice-Hradisko"
"M0577","FT418","Křepice-Za hájkem"
"M0578","24-43-10/7","Křižanovice u Bučovic-Padělky"
"M0579",NA,"Křižanovice u Bučovic-Padělky nad hliníkem"
"M0580",NA,"Křižanovice u Vyškova-"
"M0581","FT360","Kubšice-U vedrovických hranic"
"M0582",NA,"Kudlovice-Zámeza"
"M0583","FT127","Kuchařovice-Dolní Kasperek"
"M0584",NA,"Kunov-Horekončie"
"M0585",NA,"Kunov-Medzikružie"
"M0586",NA,"Kunov-Nádemenice"
"M0587",NA,"Kunov-Starý cintorín"
"M0588",NA,"Kunov-zahrada domu č. 57"
"M0589",NA,"Kunov-Záhrobné diely"
"M0590",NA,"Kunov-Záchrastie"
"M0591","25-33-22/5","Kunovice u Uherského Hradiště-Let"
"M0592",NA,"Kunovice u Uherského Hradiště-Nedbalova cilhelna"
"M0593",NA,"Kunovice u Uherského Hradiště-Nová Čtvrť"
"M0594",NA,"Kunovice-Ve Slínech"
"M0595","FT69","Kurdějov-Holý vrch"
"M0596",NA,"Kuřim-Blanenská"
"M0597","24-32-13/10","Kuřim-Křivé"
"M0598","24-32-09/21","Kuřim-Na zahrádkách"
"M0599","24-32-08/9","Kuřim-Nad nivkami pod Zlobicí"
"M0600","24-32-09/11","Kuřim-Pod Toskou"
"M0601","24-32-09/8","Kuřim-Rybníky"
"M0602","24-32-09/9","Kuřim-U kopečku"
"M0603",NA,"Kuřim-U Marušky"
"M0604",NA,"Kuřim-Ve vedlejších"
"M0605","FT232","Kuřim-Za kostelem"
"M0606","24-32-14/7","Kuřim-Za sv. Jánem"
"M0607","24-32-08/10","Kuřim-Za Špihlíkem"
"M0609","35-11-02/4","Kvačice-Chylický rybník"
"M0610","25-31-24/1","Kvítkovice u Otrokovice-Přední mezicestí"
"M0611",NA,"Kyjov-komín sklárny"
"M0612",NA,"Kyjov-Újezd"
"M0613","34-11-18/4","Kyjovice-Nad silnicí"
"M0614","34-11-18/9","Kyjovice-Sutny"
"M0615","FT157","Kyjovice-Zahrada F. Krejčího"
"M0616","863","Laa an der Thaya-Inneres Gerichtsfeld"
"M0617",NA,"Láb-Pálenice"
"M0618",NA,"Láb-Tri tále"
"M0619","24-44-24/12","Labuty-Juřičkův kopec"
"M0620","24-44-24/10","Labuty-Újezd za humny"
"M0621",NA,"Lakšárska Nová Ves-kravíny JRD"
"M0622",NA,"Lamač-Jamy 2"
"M0623","FT476","Lančov-Za kapličkou"
"M0624","710","Lanzendorf-Sandgrube"
"M0625","34-23-20/3","Lanžhot-Podsedky"
"M0626","24-22-16/8","Laškov - Na příčkách"
"M0627","24-22-16/6","Laškov-Na kuse"
"M0628","33-22-02/3","Láz u Nových Syrovic-U nového rybníka"
"M0629","14-44-12/3","Lazce u Troubelic-U staré matky"
"M0630","14-44-12/4","Lazce u Troubelic–Vystříbro"
"M0631","24-21-01/3","Lázy-říšská dálnice"
"M0632","34-23-07/9","Lednice na Moravě-Nejdecké roviny"
"M0633","34-23-08/2","Lednice na Moravě-Podholmy"
"M0634",NA,"Lechotice-Podlesí"
"M0635",NA,"Lechovice-parcela 424/21"
"M0636","24-32-14/2","Lelekovice-hrad"
"M0637","24-32-14/3","Lelekovice-intravilán"
"M0638","A36","Leodagger-Lange Vierteln"
"M0639",NA,"Lesná u Znojma-Horní prátna"
"M0640",NA,"Lesná u Znojma-U lihovaru"
"M0641","34-11-05/5","Lesonice u Moravského Krumlova-Močidla"
"M0642","23-44-13/8","Lesůňky-cihlena"
"M0643","FT489","Lesůňky-Loch"
"M0644","23-44-13/4","Lesůňky-nad soutokem"
"M0645","23-44-13/22","Lesůňky-Tvrz"
"M0646","23-44-13/1","Lesůňky-U boroví"
"M0647","23-44-13/2","Lesůňky-U dubu"
"M0648","23-44-13/7","Lesůňky-U tvrze"
"M0649","24-24-06/43","Lešany u Prostějova-Na dluhošticích"
"M0650","24-24-06/26","Lešany u Prostějova-U doubku"
"M0651","24-24-01/1","Lešany u Prostějova-V Syrovátkách"
"M0652","24-24-06/35","Lešany u Prostějova-Za Hemerkovým"
"M0653","24-34-11/12","Letkovice-intravilán"
"M0654","FT122","Letkovice-Pod kolibkami"
"M0655","24-43-05/2","Letonice-Mezi hájky"
"M0656","24-44-07/7","Letošov-cihlelna"
"M0657","FT172","Letošov-Půllány"
"M0658","FT310","Lhánice-Černice"
"M0659","FT206","Lhánice-Kolonie"
"M0660","FT42","Lhánice-Kopanina"
"M0661","24-33-14/4","Lhánice-Na hrádku"
"M0662","24-33-14/8","Lhánice-Vodavek"
"M0663","24-33-14/7","Lhánice-zemědělské družstvo"
"M0664","25-13-10/7","Lhota u Lipníka nad Bečvou-Dlouhé hony"
"M0665",NA,"Lhota u Lipníka nad Bečvou-Dlouhé hony"
"M0666","FT27","Lhotice u Jemnice-Široké"
"M0667","25-31-21/4","Lhotka u Kroměříže-Padělky od Zelinky"
"M0668","14-43-14/1","Líbivá-u nadjezdu nad dráhou"
"M0669",NA,"Lipov-Padělky"
"M0670","24-32-04/6","Lipůvka-Klíny"
"M0671","24-32-04/7","Lipůvka-Nad cihelnou"
"M0672","24-32-04/8","Lipůvka-Pod habřím"
"M0673","24-32-09/7","Lipůvka-Pod Maňůvkou u Trojice"
"M0674",NA,"Lísky-Za Hrubou loukou"
"M0675","FT135","Líšeň-Breitcetlova"
"M0676","24-41-21/5","Líšeň-Čihadlo"
"M0677",NA,"Líšeň-Dlouhý kus"
"M0678","24-41-21/9","Líšeň-Klicperova ul."
"M0679","24-41-21/8","Líšeň-Křížová zmola"
"M0680","24-41-21/11","Líšeň-Zadní kostelíček"
"M0681","24-24-20/3","Lobodice-Niva u Cvrčova"
"M0682",NA,"Loštice-Náměstí Míru"
"M0683","24-43-18/4","Lovčičky-Cihelna"
"M0684","24-43-18/10","Lovčičky-Dlouhé"
"M0685","FT361","Lovčičky-Nádlese"
"M0686","FT236","Lovčičky-Široké"
"M0687","24-43-18/5","Lovčičky-Žleby"
"M0688","FT408","Lovčovice-Na kopci"
"M0689",NA,"Lubnice-Černá pole"
"M0690",NA,"Lubnice-Dvorské Díly"
"M0691",NA,"Lubnice-Na kopci"
"M0692",NA,"Lubnice-Uherčická pole"
"M0693",NA,"Ludéřov-U smrku"
"M0694","24-22-16/18","Ludéřov-U Zlaté stružky"
"M0695",NA,"Ludéřov-západně od Švédských šancí"
"M0696","33-24-04/2","Lukov nad Dyjí-Ostroh"
"M0697","23-44-18/14","Lukov u Moravských Budějovic-Týnské"
"M0698","23-44-18/6","Lukov u Moravských Budějovic-Za bažantnicí"
"M0699","FT271","Lukovany-Za pazourkovým"
"M0700","24-41-19/8","Luleč u Vyškova-sv. Martin"
"M0701","24-41-19/4,5","Luleč-intravilán"
"M0702","24-22-23/2","Lutín-Nový trávník"
"M0703","24-24-01/13","Lutotín-intravilán"
"M0704","24-24-01/5, 24-24-01/6","Lutotín-Jestřábí rokle"
"M0705","24-24-01/13","Lutotín-obec"
"M0706","34-24-02/1","Lužice u Hodonína-Kratiny"
"M0707","34-24-01/10","Lužice u Hodonína-U starého"
"M0708","25-13-07/8","Lýsky-intravilán"
"M0709",NA,"Lýsky-Nad struhou"
"M0710",NA,"Lýsky-Padělky u Lýsek"
"M0711","25-31-24/2","Malenovice u Zlína-Jarolímkovo nám."
"M0712","25-31-24/1","Malenovice u Zlína-Mezicestí"
"M0713",NA,"Malenovice u Zlína-Švermova"
"M0714","24-32-08/7","Malhostovice-Jezera"
"M0715","24-32-09/1","Malhostovice-Na jezerách nad Koudelkami"
"M0717","24-32-03/16","Malhostovice-Pod Brabinkou"
"M0718","24-32-09/4","Malhostovice-Polovy žleby"
"M0719","24-32-08/6","Malhostovice-U bílého kamene"
"M0720","24-32-03/25","Malhostovice-U Nuzířova"
"M0721","24-32-03/18","Malhostovice-U Pluštaru"
"M0722","24-32-08/8","Malhostovice-Zlámaniny"
"M0723","24-32-03/14","Malhostovice-Žalvíř"
"M0724","520","Mallersbach-Schindberg"
"M0725","FT114","Maloměřice-Holý kopec"
"M0726",NA,"Maloměřice-U stavu"
"M0727","231","Mannersdorf-Auhagen"
"M0728","17","Mannersdorf-Dammäcker"
"M0729","FT365","Marefy-Čtvrtě od Letonic"
"M0730","FT367","Marefy-intravilán"
"M0731","FT366","Marefy-Průtnice"
"M0732","654","Marchegg-Lange Lüsse"
"M0733","653","Marchegg-Ochsenweide"
"M0734","24-34-22/13","Maršovice-Na kocourkách"
"M0735",NA,"Mařatice-Štanclova cihelna"
"M0736","FT56","Mašovice u Znojma-Malé poloúdělí"
"M0737","FT57","Mašovice u Znojma-Mezicestí"
"M0738","33-22-25/7","Mašovice u Znojma-Pšeničné"
"M0739","FT298","Medlánky-Za Bomberkem"
"M0740","14-44-11/19","Medlov u Uničova-cihelna"
"M0741","14-44-11/9","Medlov u Uničova-důl Barbora"
"M0742","14-44-11/10","Medlov u Uničova-parcela 411"
"M0743",NA,"Medlov u Uničova-U Pískoviště"
"M0744","24-42-12/14","Medlovice-Za Hanou"
"M0746",NA,"Měrovice nad Hanou-Přední díly"
"M0747","33-22-03/2","Městys Blížkovice-u Mácova rybníka"
"M0748","FT409","Mešovice-Pod dančovickou silnicí"
"M0749",NA,"Mezice-Za kovárnou"
"M0750","24-22-07/4","Mezice-Za kovárnou"
"M0751",NA,"Michelstetten-"
"M0752","201","Michelstetten-"
"M0753","202","Michelstetten-"
"M0754","203","Michelstetten-"
"M0755","205","Michelstetten-"
"M0756","206","Michelstetten-"
"M0757","480","Michelstetten-Am Sand"
"M0758",NA,"Michelstetten-Bei der Feldmühle"
"M0759","204, 205","Michelstetten-Zeiselberg"
"M0760",NA,"Míkovice nad Olšavou-Na Drahách"
"M0761","34-24-06/14","Mikulčice-Podbřežníky"
"M0762","34-14-05/1","Mikulov na Moravě-Jelení louka"
"M0763","34-14-10/7","Mikulov na Moravě-Kamenné"
"M0764","34-14-10/6","Mikulov na Moravě-Turold"
"M0765","FT359","Mikulovice u Znojma-cihelna"
"M0766","FT71","Mikulovice-Rohlík"
"M0767","23-44-13/3","Milatice-Hekrle"
"M0768","FT35","Milovice u Mikulova-intravilán"
"M0769","34-21-21/9","Milovice u Mikulova-Klíny"
"M0770","FT473","Milovice u Mikulova-Mikulovské terasy"
"M0771","34-21-21/7","Milovice u Mikulova-Na pískách"
"M0772","34-21-21/8","Milovice u Mikulova-Prostřední pole"
"M0773","34-23-01/5","Milovice u Mikulova-Spitzhübel"
"M0774","FT472","Milovice u Mikulova-Velké díly"
"M0775","25-31-06/14","Miňůvky-Křivky"
"M0776","34-11-15/6","Miroslav-nám. Svobody"
"M0777","FT356","Miroslav-Přední farské"
"M0778","34-11-10/2","Miroslavské Knínice-U cihelny"
"M0779","FT110","Mistřín-Vadasova pískovna"
"M0780","521","Mitterretzbach-Hofäcker"
"M0781","24-14-10/20","Mladkov u Boskovic-Mezicestí"
"M0782",NA,"Mladoňovice na Moravě-Kozlovce"
"M0783","33-21-05/7","Mladoňovice na Moravě-Sedliska"
"M0784","33-21-05/6","Mladoňovice na Moravě-U Gottharda"
"M0785","FT364","Mladoňovice na Moravě-Záhumenice ke Slavíkovicím"
"M0786",NA,"Modrá u Velehradu-Orlová"
"M0787","24-34-10/1","Modřice-Lány"
"M0788",NA,"Modřice-Primál"
"M0789","24-34-15/28; 24-34-15/6","Modřice-Sádky"
"M0790",NA,"Modřice-U humusárny"
"M0791","24-34-15/5","Modřice-Za humny"
"M0792","14-43-20/10","Mohelnice-Bartošovo pole"
"M0793","14-43-15/11","Mohelnice-Kernerovo pole"
"M0794","14-43-15/2","Mohelnice-Nadjezd"
"M0795","14-43-19/2","Mohelnice-Náměstí Svobody"
"M0796","14-43-14/7","Mohelnice-park"
"M0797","14-43-19/17","Mohelnice-škrobárna"
"M0798","14-43-20/11","Mohelnice-štěrkovna, u bývalého cukrovaru"
"M0799","14-43-14/3","Mohelnice-U Křemačovského rybníka"
"M0800","14-43-15/3","Mohelnice-U splavu"
"M0801",NA,"Mohelnice-Ul. 1. máje"
"M0802","14-43-14/2","Mohelnice-Za parkem"
"M0803","14-43-15/9","Mohelnice-Za sídlištěm"
"M0804",NA,"Mohelnice-Zückova cihlena"
"M0805","24-33-13/4","Mohelno-Dlouhý"
"M0806","24-33-14/1","Mohelno-Na boleniskách"
"M0807","FT276","Mohelno-Na šibenici"
"M0808","FT275","Mohelno-Nad tlustým"
"M0809",NA,"Mohelno-Padělky"
"M0810",NA,"Mohelno-Plevovce"
"M0812","24-33-09/4","Mohelno-Skřipina"
"M0813","FT152","Mohelno-Staré Hory"
"M0814",NA,"Mohelno-Suchánek"
"M0815","FT423","Mohelno-Šibenice"
"M0816","FT250","Mohelno-Za netřeskem"
"M0817","FT424","Mohelno-Žebrák"
"M0818","FT36","Mohleno-Za chobotem"
"M0820","24-41-22/2","Mokrá u Brna-Hrnčířské pole"
"M0824","24-41-17/33","Mokrá u Brna-Spalená seč"
"M0825","FT253","Mokrá u Brna-Široké"
"M0826",NA,"Mokrá u Brna-U obrázku"
"M0827",NA,"Mokrá u Brna-Úzké"
"M0828","FT252","Mokrá u Brna-Vlašňovské údolí"
"M0829",NA,"Moravany u Brna-Horka"
"M0830","14-43-20/3","Moravičany-Dílečky"
"M0831","14-43-20/2","Moravičany-Dlouhý Díleček"
"M0832",NA,"Moravičany-dům č. 206"
"M0833","14-43-20/4","Moravičany-hřbitov"
"M0834","14-43-20/8","Moravičany-kaple sv. Rocha"
"M0835",NA,"Moravičany-Široké Díly"
"M0836","14-43-20/7","Moravičany-U vody"
"M0837","34-24-06/26","Moravská Nová Ves-intravilán"
"M0838","34-24-06/4","Moravská Nová Ves-Padělky od vody"
"M0840","FT211","Moravské Bránice-Ve starých"
"M0841",NA,"Moravské Budějovice-Náměstí Míru"
"M0842","23-44-23/6","Moravské Budějovice-Pod heřmanským kopcem"
"M0843","23-44-23/4","Moravské Budějovice-u lesa Ochoz"
"M0844","FT129","Moravské Knínice-Čihadla"
"M0845","FT130","Moravské Knínice-U kaple"
"M0846","FT371","Moravské Knínice-U panských luk"
"M0847","24-32-13/2","Moravské Knínice-V újezdech"
"M0848","FT467","Moravský Krumlov-Dlouhá louka"
"M0849","24-33-25/4","Moravský Krumlov-Horní Novosady"
"M0850","FT286","Moravský Krumlov-Na slatinách"
"M0851","FT164","Moravský Krumlov-Nad Haltýřem"
"M0852","FT468","Moravský Krumlov-Obory"
"M0853","FT470","Moravský Krumlov-okolí těžebního revíru I"
"M0854","FT469","Moravský Krumlov-okolí těžebního revíru VI"
"M0855","FT335","Moravský Krumlov-U boudy"
"M0856","FT242","Moravský Krumlov-u žst. Rakšice"
"M0857","24-34-21/4","Moravský Krumlov-Vysoká hora"
"M0858","35-11-01/2","Moravský Písek-pískovna"
"M0859",NA,"Moravský Písek-Pod Kladichovem"
"M0860",NA,"Moravský Svätý Ján-Dlhé lúky"
"M0861",NA,"Moravský Svätý Ján-Na hrudoch"
"M0862","24-42-08/13","Mořice-Pololány u můstku"
"M0863","24-42-09/2","Mořice-Pololány u Studánky"
"M0864","24-42-09/4","Mořice-U obrázku"
"M0865","24-24-06/24","Mostkovice-mezi Hloučelou a silnicí do Smržic"
"M0866","24-24-11/36","Mostkovice-Pod vinohrady"
"M0867",NA,"Mostkovice-silnice u hřbitova"
"M0868",NA,"Mostkovice-U vrbiček"
"M0869","24-24-11/8","Mostkovice-Vysoudilka"
"M0870",NA,"Mramotice-Kasárna"
"M0871","34-12-19/16","Mušov-Mühläcker"
"M0872","34-12-19/19","Mušov-Neurissen I"
"M0873","34-12-19/23","Mušov-Neurissen II"
"M0874","34-12-24/6","Mušov-Sandäcker"
"M0875","34-12-19/14","Mušov-Tuchna"
"M0876","34-12-24/7","Mušov-U sv. Jana"
"M0877","34-12-19/3","Mušov-U vodárny"
"M0878","34-22-16/26","Mutěnice-Hraničky"
"M0879","34-22-21/13","Mutěnice-Zbrod"
"M0880","24-24-16/8","Myslejovice-Díly"
"M0881","24-24-16/16","Myslejovice-Kluče od Kozylky"
"M0882","???","Myslejovice-Kopaniny"
"M0883","24-24-16/24","Myslejovice-Křéba"
"M0884","24-24-16/27","Myslejovice-Mitrovy"
"M0885","24-24-16/14","Myslejovice-Úzké"
"M0886",NA,"Myslibořice-Hrušovec"
"M0887","24-22-16/4","Náměšť na Hané-Dlouhá niva"
"M0888","24-22-16/22","Náměšť na Hané-Džbán"
"M0889","24-22-16/2","Náměšť na Hané-Křemela I"
"M0890","24-22-16/1","Náměšť na Hané-Rmíz u Laškova"
"M0891","24-22-17/2","Náměšť na Hané-Válník"
"M0892","24-22-16/20","Náměšť na Hané-Za hřbitovem"
"M0893",NA,"Nasobůrky-Cholinka"
"M0894",NA,"Nedakonice-Padělky"
"M0895","24-44-22/15","Nechvalín-Měřiny"
"M0896","24-44-22/1","Nechvalín-Nivky"
"M0897","34-23-07/10","Nejdek u Lednice-Czuczkova cihlena"
"M0898","34-23-07/9","Nejdek u Lednice-Nejdecké roviny"
"M0900","24-42-04/4, 24-42-04/6","Němčice nad Hanou-cukrovar, nádraží"
"M0901","24-42-03/17","Němčice nad Hanou-Daňka"
"M0902","24-42-04/3","Němčice nad Hanou-městečko"
"M0903","24-42-04/11","Němčice nad Hanou-Nadloučí"
"M0904","24-42-04/5; 24-42-04/6","Němčice nad Hanou-Svorka"
"M0905","FT102","Němčice u Ivančic-Široké u Komana"
"M0906","34-11-12/7","Němčičky nad Jevišovkou-Horní kusy"
"M0907","24-34-23/9","Němčičky-Nad drůbežárnou"
"M0908",NA,"Nemilany-intravilán"
"M0909","24-22-24/6","Nemilany-Kapitulní"
"M0910","24-41-19/1","Nemojany-Horka"
"M0911","24-41-19/1","Nemojany-Na hřeblech"
"M0912","24-41-19/7","Nemojany-Podhoří"
"M0913","24-41-19/18","Nemojany-Račková"
"M0914","24-41-19/20; 24-41-19/10","Nemojany-Zahrady"
"M0915","24-44-07/15","Nemotice-Díly u dvora"
"M0916",NA,"Neředín-letiště"
"M0917","24-22-19/1","Neředín-Mýlina"
"M0918",NA,"Neslovice-Domky"
"M0919",NA,"Neslovice-Hlavní ul."
"M0920","FT214","Neslovice-Kaliště"
"M0921","24-34-06/9","Neslovice-Nivky"
"M0922","226","Neudorf-Schmalzberg"
