id,orig_id,region,site,site_note,note,in_analysis
M0417,NA,BO,Ivančice-Loučky,za školním statkem,NA,TRUE
M0418,NA,BO,Ivančice-Mřenková ul.,Na židovských hrobech,NA,TRUE
M0419,FT295,BO,Ivančice-Nové hory,NA,Ivančice,TRUE
M0420,FT98,BO,Ivančice-Panovského cihelna,Cihelna,NA,TRUE
M0421,24-42-12/15,VY,Ivanovice na Hané-Padělky za cihelnou,"Padělky od Medlovic, Ivanovice 3",NA,TRUE
M0422,24-42-07/15,VY,Ivanovice na Hané-Spravedlnost,NA,NA,TRUE
M0423,NA,VY,Ivanovice na Hané-U Chvalkovic,NA,NA,TRUE
M0424,24-42-12/17,VY,Ivanovice na Hané-Za střediskem,NA,NA,TRUE
M0425,24-32-19/9,BM,Ivanovice-Pod Habřím,"Na dílech, Globus",NA,TRUE
M0426,24-14-10/25,BK,Jabloňany-kravín,areal ZD,NA,TRUE
M0427,24-14-15/9,BK,Jabloňany-Sedliska,"Velké Lopaty, Čtvrtě, Široký",NA,TRUE
M0428,NA,MA,Jakubov-Pri starom mlyne,NA,NA,TRUE
M0429,NA,MA,Jakubov-Prostredné pole,NA,NA,TRUE
M0430,NA,TR,Jamolice-Čertova hráz,NA,"VOKÁČ, Milan. Nové výšinné a opevněné lokality z eneolitu na jihozápadní Moravě. In Otázky neolitu a eneolitu našich zemí. Praha: Ústav archeologické památkové péče středních Čech, 2004. s. 257-270",TRUE
M0431,FT353,TR,Jamolice-Hájky,V Hájcích,Moravský Krumlov,TRUE
M0432,NA,KM,Jarohněvice-Rozdíly,NA,NA,TRUE
M0433,23-44-19/5,TR,Jaroměřice nad Rokytnou-Kopanina,NA,NA,TRUE
M0434,23-44-19/4,TR,Jaroměřice nad Rokytnou-Niva pod dráhou,"Kerchůvky, Panská niva",NA,TRUE
M0435,FT355,TR,Jaroměřice nad Rokytnou-Spolek,"XII., u rybníka Janák",NA,TRUE
M0436,23-44-14/7,TR,Jaroměřice nad Rokytnou-Štěpánovská trať,"U rybnika Troubsky a u silnice do Boňova, Štěpánovská trať",NA,TRUE
M0437,23-44-14/1,TR,Jaroměřice nad Rokytnou-V košíkovém,"V kosikovem, u hrbitova, Jaroměřice VIII","viděl v MZM, i.č. 13984-9, 13991-7",TRUE
M0438,23-44-19/4,TR,Jaroměřice nad Rokytnou-Za forotou,Jaroměřice X; halštatské hradiště,NA,TRUE
M0439,FT123,TR,Jaroměřice nad Rokytnou-Žabík,NA,+ Pravěk Třebíčska,TRUE
M0440,24-21-12/7,SY,Jaroměřice-Čtvrtě pod hájky,"1a, 1b, 1c, 1d",NA,TRUE
M0441,24-21-12/2; 24-21-12/5,SY,Jaroměřice-Na hójezdech,Jaroměřice 2a,NA,TRUE
M0442,564; 635,GF,Jedenspeigen-Bahnfeld,Dammfeld,NA,TRUE
M0443,NA,GF,Jedenspeigen-Dammfeld,NA,NA,TRUE
M0444,0,GF,Jedenspeigen-Östlich des Dammfeldes,NA,NA,TRUE
M0445,567,GF,Jedenspeigen-Schafhofbreiten,NA,NA,TRUE
M0446,NA,GF,Jedenspeigen-Schafhofbreiten,NA,NA,TRUE
M0447,NA,GF,Jedenspeigen-Wimmerauwiesen,NA,NA,TRUE
M0448,NA,TR,Jemnice-Nad Jandovem,NA,NA,TRUE
M0449,33-21-04/4,TR,Jemnice-Nad Týnicí,Tejnice,+Bartík DP,TRUE
M0450,NA,TR,Jemnice-Padělky za šibenicí,NA,NA,TRUE
M0451,NA,TR,Jemnice-Široké,NA,NA,TRUE
M0452,24-14-20/12,BK,Jestřebí-Hrubé dílce,NA,NA,TRUE
M0453,583,HL,Jetzelsdorf-Fundstelle 1,i k.ú. Peigarten,NA,TRUE
M0454,589,HL,Jetzelsdorf-Rabenberg,i k.ú. Ragelsdorf,NA,TRUE
M0455,NA,SY,Jevíčko-předměstí 19,NA,NA,TRUE
M0456,FT475,ZN,Jevišovice-Na příčných,Jevišovice II,NA,TRUE
M0457,NA,BV,Jevišovka-Nová ul.,NA,NA,TRUE
