id,site,accuracy,surface,altitude,X,Y
B0183,Chotýš-nad úvozovou cestou,2,TRUE,290,-710408,-1055174
B0184,Chrast-K Chrašicícm,2,FALSE,284,-637246,-1076465
B0185,Chrast,2,FALSE,278,-637383,-1075850
B0186,Chrášťany u Českého Brodu-bioplynová stanice,2,FALSE,256,-707341,-1050180
B0187,Chrudim-Nad železniční zastávkou,2,TRUE,258,-646813,-1069710
B0188,Chrudim-Olbrachtova ul,2,NA,260,-647859,-1070625
B0189,Chrudim-Píšťovy,1,FALSE,258,-646749,-1072189
B0190,Chrudim-Pod křížem,2,NA,290,-645720.83,-1070006.58
B0191,Chrudim-Pod požární zbrojnicí,2,NA,274,-645822.43,-1070768.58
B0192,Chrudim-Pumberky,2,FALSE,288,-645497,-1070514
B0193,Chrudim-Staré město,1,FALSE,265,-647136,-1070565
B0194,Chrudim-U kostela Sv. Kříže,1,FALSE,272,-647569,-1071524
B0195,Chrudim-Wiesnerova továrna,1,FALSE,252,-647738,-1070180
B0196,Chudonice-,3,FALSE,226,-665599,-1036957
B0197,Chyjice-V lohovicích,1,FALSE,316,-678461,-1018160
B0198,Chýšť-Vražednice,1,FALSE,238,-663047,-1047972
B0199,Jakub-K Novému rybníku,2,TRUE,212,-678359,-1064658
B0200,Jaroměř-Dolní dolce,1,FALSE,260,-634352,-1028327
B0201,Jaroměř-Dolní Dolce-Zavadilka,1,FALSE,264,-634397,-1027636
B0202,Jaroměř-Na cihelnách,1,FALSE,268,-633733.47,-1027371.05
B0203,Jaroměř-Na Vinicích,2,NA,264,-633876,-1026822
B0204,Jenštejn-Na vartě,2,FALSE,236,-728838,-1037185
B0205,Jenštejn-Na Stráni,2,TRUE,236,-728730,-1037526
B0206,Jenštejn-,2,FALSE,232,-729037,-1037425
B0207,Jeřice-V Motsečkách,2,TRUE,280,-650375,-1026128
B0208,Jeřice-U studánky,2,TRUE,288,-650881,-1025625
B0209,Jičín-nemocnice,2,FALSE,288,-671597,-1012741
B0210,Jirny-Na Kaštance,1,FALSE,244,-723123,-1042678
B0211,Jiřice u Kostelce nad Labem-,2,TRUE,172,-730625,-1028243
B0213,Kbelnice-Horka,2,TRUE,284,-671125,-1010934
B0214,Kbelnice-úvoz k Bílému mlýnu,2,NA,283,-671259,-1011228
B0215,Kbely-cihelna,2,FALSE,276,-733044,-1038876
B0216,Kbely-,3,NA,270,-732597,-1039105
B0217,Kbely-ZŠ Albrechtická,1,FALSE,274,-733376,-1039078
B0218,Klecany-Na hradišti,2,FALSE,278,-743229,-1032964
B0219,Klecany-zámecká zahrada,1,FALSE,280,-742558,-1032858
B0220,Klecany-Na skalkách,2,NA,268,-741766,-1033313
B0221,Klučov u Českého Brodu-Na ptáčku,2,FALSE,248,-707949,-1046476
B0222,Klučov u Českého Brodu-,1,FALSE,214,-708429,-1047023
B0223,Kobylisy-Kobyliské nám.,2,FALSE,276,-739939,-1039341
B0224,Kobylisy-U Ženíškovy cihelny,2,NA,276,-739745,-1039519
B0225,Kojice-Za domkem,2,TRUE,206,-674059,-1057260
B0226,Kolín-Ve vrbičkách,1,NA,214,-690541,-1056051
B0227,Kolín-Šťáralka,1,FALSE,202,-686458,-1059295
B0228,Kolín-Lučební závody Draslovka,1,FALSE,200,-687211,-1058042
B0229,Kolín-Plynárenská,2,FALSE,210,-687361,-1058463
B0230,Kolín-Syntezia,2,NA,198,-689689,-1056071
B0231,Kolín-U zálabské Prachárny,3,NA,198,-688248,-1056592
B0232,Kolín VII,1,FALSE,216,-687184,-1059215
B0233,Konecchlumí-U dubu,2,NA,294,-663090,-1017626
B0234,Kopidlno-ČOV,1,FALSE,220,-680125,-1023883
B0235,Kornice-Hlavňov,2,TRUE,380,-611385,-1081665
B0236,Kosmonosy-,2,FALSE,232,-700629,-1008810
B0237,Kostelec nad Labem-Blatenská,2,FALSE,170,-729417,-1028994
B0238,Kostelec nad Labem-cukrovar,2,FALSE,174,-729769,-1028788
B0239,Kostelec nad Labem-Na pískách,2,NA,164,-728170,-1028492
B0240,Kostelec nad Orlicí-Hálkova ul.,1,FALSE,306,-614604,-1054443
B0241,Kounice-Na Skále,2,FALSE,240,-712971,-1045084
B0242,Kouřim-Molitirov,1,FALSE,286,-705797,-1057865
B0243,Kouřim-U cukrovaru,2,NA,258,-703758,-1057636
B0244,Kouřim-Stará Kouřim,1,FALSE,290,-703812,-1058047
B0245,Kouřim-V Dolnici,3,NA,276,-704001,-1058851
B0246,Kouřim-U svatého Jiří,2,NA,280,-704382,-1058215
B0247,Kovanice-intravilán,3,FALSE,178,-695508,-1040126
B0248,Kratonohy-Požárský,1,FALSE,230,-659028,-1044639
B0249,Krč-Společenská zahrada,1,FALSE,230,-741373,-1049248
B0250,Křinec-Za mostem,2,FALSE,192,-689353,-1031174
B0251,Krchleby u Čáslavi-Na Lomenici,2,FALSE,272,-679367,-1073161
B0252,Krupá u Kostelce nad Černými Lesy-Syneč,1,FALSE,274,-710582,-1053932
B0253,Krupá u Kostelce nad Černými Lesy-V roklích,2,TRUE,300,-711123,-1054219
B0254,Krupá u Kostelce nad Černými Lesy-Měchejřík,2,TRUE,290,-710759,-1054719
B0255,Křeslice-U Fantova mlýna,2,TRUE,262,-733757,-1050967
B0256,Kšely-,2,FALSE,258,-708818,-1051334
B0257,Kšely-,2,TRUE,252,-708968,-1051377
B0258,Kšely-Za humny,3,NA,272,-709137,-1052627
B0259,Kšely-stavba kravínů,2,FALSE,258,-709568,-1052168
B0260,Kšely-V červenkách,3,TRUE,292,-710450,-1053201
B0261,Kšely-dům č.p.7,2,NA,256,-709554,-1052332
B0262,Kukleny-škola,1,FALSE,234,-643491,-1042270
B0263,Kunětice,NA,NA,222,-643162,-1057279
B0264,Kunratice-Nový hrad,2,FALSE,264,-740257,-1051000
B0265,Kutná Hora-Cimburk,1,FALSE,312,-686485,-1068329
B0266,Kutná Hora-Karlov,2,FALSE,238,-683651,-1066450
B0267,Kutná Hora-Školní ul.,2,FALSE,230,-684116,-1065718
B0268,Kutná Hora-Dänemark,1,FALSE,300,-686041,-1068239
B0269,Kutná Hora-Stará cihelna,2,FALSE,266,-684851,-1067779
B0270,Květnice-Za mlýnem,2,NA,272,-724973,-1048409
B0271,Květnice-Bedrníková ul.,2,FALSE,270,-725212,-1048794
B0272,Květnice-Na Ladech,1,FALSE,270,-724727,-1048454
B0273,Lány u Bylan-Mezi mlýny,2,TRUE,268,-650204,-1071379
B0274,Lány u Bylan-,2,TRUE,268,-650372,-1071156
B0275,Lázně Bohdaneč-Na kozlíčku,2,TRUE,222,-653026,-1053160
B0276,Lázně Bohdaneč-Dobrá,2,TRUE,220,-653395,-1052525
B0277,Lázně Toušeň-Nad tratí,1,FALSE,194,-721171,-1037257
B0278,Lázně Toušeň-Na hradisku,2,TRUE,184,-720201,-1037211
B0279,Lázně Toušeň-Jandova cihelna,2,FALSE,200,-720809,-1037487
B0280,Letňany-Beranových,2,FALSE,282,-735772,-1039520
B0281,Lhota u Dolních Břežan- dům č. 46,2,FALSE,352,-744130,-1057407
B0282,Lhota u Dolních Břežan-Hradiště,2,TRUE,380,-745707,-1056635
B0283,Libáň-,2,FALSE,236,-681532,-1018445
B0284,Libáň-,2,TRUE,230,-681697,-1018746
B0285,Libčany-,1,FALSE,260,-651394,-1042860
B0286,Libčany-intravilán,2,TRUE,270,-650880,-1043336
B0287,Libeň-Libušák,2,FALSE,221,-739012,-1040546
B0288,Libeň-Na Košince,2,FALSE,213,-739012,-1041060
B0289,Libeň-Okrouhlík,1,FALSE,266,-739003,-1040012
