id,chrono,label,facet
M0198,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0199,ENE0,Epi LgK,Proto Ene.
M0201,LgK2,LgK II,LgK II
M0202,LgK2,LgK II,LgK II
M0203,LgK2,LgK II,LgK II
M0204,LgK2,LgK II,LgK II
M0204,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0205,LgK2,LgK II,LgK II
M0205,ENE0,Epi LgK,Proto Ene.
M0205,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0206,LgK2,LgK II,LgK II
M0206,TRB1,TRB Baalberge,TRB Baalberge
M0206,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0207,LgK2,LgK II,LgK II
M0208,LgK2,LgK II,LgK II
M0209,LgK2,LgK II,LgK II
M0211,LgK2,LgK II,LgK II
M0211,ENE0,Epi LgK,Proto Ene.
M0212,LgK2,LgK II,LgK II
M0212,ENE0,Epi LgK,Proto Ene.
M0214,LgK2,LgK II,LgK II
M0215,LgK2,LgK II,LgK II
M0215,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0216,LgK2,LgK II,LgK II
M0216,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0218,TRB1,TRB Baalberge,TRB Baalberge
M0218,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0221,LgK2,LgK II,LgK II
M0222,ENE0,Epi LgK,Proto Ene.
M0223,LgK2,LgK II,LgK II
M0224,LgK2,LgK II,LgK II
M0225,LgK2,LgK II,LgK II
M0226,LgK2,LgK II,LgK II
M0227,LgK2,LgK II,LgK II
M0228,ENE0,Epi LgK,Proto Ene.
M0229,LgK2,LgK II,LgK II
M0230,ENE0,Epi LgK,Proto Ene.
M0231,TRB1,TRB Baalberge,TRB Baalberge
M0232,LgK2,LgK II,LgK II
M0233,LgK2,LgK II,LgK II
M0235,LgK2,LgK II,LgK II
M0236,LgK2,LgK II,LgK II
M0236,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0237,LgK2,LgK II,LgK II
M0237,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0238,LgK2,LgK II,LgK II
M0239,LgK2,LgK II,LgK II
M0240,LgK2,LgK II,LgK II
M0241,ENE0,Epi LgK,Proto Ene.
M0242,LgK2,LgK II,LgK II
M0243,LgK2,LgK II,LgK II
M0244,LgK2,LgK II,LgK II
M0245,LgK2,LgK II,LgK II
M0245,ENE0,Epi LgK,Proto Ene.
M0245,TRB1,TRB Baalberge,TRB Baalberge
M0245,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0246,LgK2,LgK II,LgK II
M0247,LgK2,LgK II,LgK II
M0248,LgK2,LgK II,LgK II
M0249,LgK2,LgK II,LgK II
M0250,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0251,TRB1,TRB Baalberge,TRB Baalberge
M0253,LgK2,LgK II,LgK II
M0254,LgK2,LgK II,LgK II
M0255,LgK2,LgK II,LgK II
M0255,ENE0,Epi LgK,Proto Ene.
M0256,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
M0257,LgK2,LgK II,LgK II
M0258,LgK2,LgK II,LgK II
M0259,LgK2,LgK II,LgK II
M0262,LgK2,LgK II,LgK II
M0263,LgK2,LgK II,LgK II
M0264,ENE0,Epi LgK,Proto Ene.
