id,value
M0078,6.6444511958938035
M0079,8.341649903501008
M0080,7.224436528418424
M0081,7.57222939822221
M0082,11.687656596513191
M0083,6.450497369800001
M0084,8.403972166416409
M0085,9.472540179293926
M0086,8.037326341698622
M0087,8.705140913172261
M0088,8.343717402131228
M0089,9.243128074415075
M0090,8.854694322583995
M0091,9.908654811038078
M0092,8.927924674505515
M0093,7.956593805345187
M0094,5.309742273278184
M0095,5.8857385438085075
M0096,6.58262697483591
M0097,6.4347101140914
M0098,5.39842680775548
M0099,7.119809371819646
M0100,5.059690680935627
M0101,4.785362809002635
M0102,5.079803049494018
M0103,5.239086517072192
M0104,5.079803049494018
M0105,6.793818004300681
M0106,6.506729640488355
M0107,3.3341947729009798
M0108,5.691892861759401
M0109,5.71074287910585
M0110,7.79221258177052
M0111,4.856606216902065
M0112,5.590287829552177
M0113,7.208402284785202
M0114,4.2525390463535775
M0116,8.70540530806255
M0117,7.500415505826754
M0118,8.614072669168188
M0119,8.206145198489624
M0120,8.62330002067405
M0121,8.742702686145188
M0122,8.2679388595272
M0123,5.679489305371758
M0124,10.257096023772142
M0125,10.663858523791504
M0126,11.139243901196979
M0127,4.905765235306802
M0128,4.6715449292130975
M0129,5.481456992151977
M0130,6.187247289486598
M0131,5.529409431686588
M0132,5.806216605060406
M0133,7.084837862540452
M0134,14.686651023951443
M0135,4.753054713509918
M0136,9.903863900125495
M0137,6.484588188644107
M0138,4.710581422367156
M0139,5.628232077919326
M0140,6.729731628207456
M0141,9.292483945406458
M0142,8.309835731139723
M0143,6.998838694987106
M0144,8.60067005768465
M0145,9.064394894526785
M0146,6.5911390733840705
M0147,7.4183997400601704
M0148,5.429561950307331
M0149,6.035011879701472
M0150,6.935709381094151
M0151,6.269146080558182
M0152,4.989183257194637
M0153,7.536755798981004
M0154,5.99888871031456
M0155,9.126940906752369
M0156,8.259782172026028
M0157,8.224487848684822
M0158,8.15386407270454
M0159,7.372065957448205
M0160,7.21049638383014
M0161,11.584586301100734
M0162,9.485140081942784
M0163,8.511444349833951
M0164,7.328506569472158
M0165,9.732300973819488
M0166,8.644454897057777
M0167,5.615856977870817
M0168,5.762311841773762
M0169,6.086883273582399
M0170,5.304147744127308
M0171,5.958995149877127
M0172,5.137506252006693
M0173,7.696982116301232
M0174,4.627909980831468
M0175,5.896311878853437
M0176,6.0083560244386165
M0177,7.2153749452863
M0178,8.084986493401141
M0179,5.4796968330534135
M0180,6.367707039705452
M0181,6.939583193425772
M0182,11.847231157667498
M0183,7.535240289739802
M0184,8.327959141430428
M0185,9.805238880287364
M0186,8.48058835134424
M0187,9.097137041319874
M0188,9.833729877283698
M0189,9.698690396326906
M0190,10.412710526854385
M0191,5.617886164558409
M0192,7.8001147801506105
M0193,6.133533998937562
M0194,6.558196030188431
M0195,6.741891914172012
M0196,7.823319914113997
M0197,7.027248501029082
M0198,4.231602901182981
M0199,4.4904438665680395
M0200,7.706947342030645
M0201,7.960066957019714
M0202,5.900432390194486
M0203,5.412547248878382
M0204,4.573564712825061
M0205,5.357848659497214
M0206,6.789499913867678
M0207,6.692795787391182
M0208,6.459021364559676
M0209,1.7717797195555
M0210,7.232663050516678
M0211,3.809756546319471
M0212,6.291582204641834
M0213,8.401260209741682
M0214,5.635974778859544
M0215,14.338332730128705
M0216,5.624400801552812
M0217,10.546233589895678
M0218,7.666892292671181
M0219,8.324252093329148
M0220,8.344552003227625
M0221,3.3818956052817204
M0222,6.06115158704611
M0223,5.058559053864494
M0224,5.937154185612622
M0225,7.732288461470492
M0226,9.03277816238317
M0227,7.522068279686169
M0228,6.7042833849040315
M0229,8.154847530248766
M0230,6.825913320389593
M0231,6.656127542609583
M0232,9.300160924904779
M0233,6.14123133350409
M0234,6.322295890089478
M0235,5.005239121844504
M0236,5.187935292345923
M0237,4.206072639363018
M0238,5.238172337048819
M0239,4.2836965444700414
M0240,4.669305687102507
M0241,4.291227004210591
M0242,7.9511725918414635
M0243,7.82768644231872
M0244,5.384436033180354
M0245,6.163647848522691
M0246,8.03067210936565
M0247,6.066612222947819
M0248,4.783329028806349
M0249,6.760240243933656
M0250,6.3484261646023334
M0251,6.207595615714882
M0252,7.907988084395101
M0253,4.313191817565398
M0254,6.891708947226124
M0255,8.333864856484935
M0256,4.972053053540683
M0257,5.311430580391482
M0258,4.192853902164446
M0259,5.102309590349726
M0260,1.412854900391954
M0261,5.295345329270765
M0262,3.7365845637220256
M0263,9.784278983492067
M0264,11.244502350371434
M0265,5.5106716031360925
M0266,5.741084249723828
M0267,6.367258456098874
M0268,7.166233934327668
M0269,6.030375881718014
M0270,7.439172115725784
M0271,7.396229654643831
M0272,5.218453492360108
M0273,5.08365295318168
M0274,6.155217592852616
M0275,7.015476437691991
M0276,5.51855618558678
M0277,9.509688846766949
M0278,8.147764711940495
M0279,6.717002359646484
M0280,6.338613212741208
M0281,7.198892025548959
M0282,9.872774369468644
M0283,9.330190709521693
M0284,12.30773602923536
M0285,6.990128015836579
M0286,7.347326118554642
M0287,6.0591257829058405
M0288,5.457197639874798
M0289,6.797456690694812
M0290,4.740349862929229
M0291,4.823597244584214
M0292,7.227159889055295
M0293,6.275910796887085
M0294,8.110517122732444
M0295,6.386744883853001
M0296,5.204191628937264
M0297,7.100762964041207
M0298,6.145332482860148
M0299,5.645040336114939
M0300,5.430587138933768
M0302,9.220503857026467
M0303,8.310202845314372
M0304,7.262865087648076
M0305,4.938273545328226
M0306,6.918644679711732
M0307,5.810179209812176
M0308,7.628062076282726
M0309,6.144144354923628
M0310,7.558079533906175
M0311,6.88008585281717
M0312,6.058587768904941
M0313,5.8381735419636165
M0315,7.286075766640953
M0316,3.814482509434878
M0317,5.663316661773943
M0318,6.4667397523057435
M0319,6.760384578821705
M0320,4.610294764947929
M0321,5.273744680045913
M0322,6.522132193770637
M0323,5.399204602739467
M0324,8.561405348927838
M0325,8.323085431840308
M0326,13.328269315968315
M0327,13.025923557532659
M0328,7.510156594834791
M0329,7.573881457639509
M0330,5.883814266612453
M0331,9.131989339489175
M0332,6.229944595760042
M0333,9.205683832695275
M0334,7.273962602592881
M0335,5.036758639157987
M0336,9.483391949218863
M0337,7.824955621106551
M0338,7.486821826249127
M0339,6.024509231475799
M0340,5.3376033035554284
M0341,7.3657224036320414
M0342,4.502570512224646
M0343,5.8869236726929826
M0344,5.57990521470924
M0345,6.003263112633836
M0346,4.994536174315932
M0347,6.196174013727116
M0348,6.3777319249999636
M0349,6.288578720728181
M0350,6.1931268708805325
M0351,5.2675228322573
M0352,4.906278999652757
M0353,4.5514096296516655
M0354,8.343956860172467
M0355,11.770375935094696
M0356,7.843426041921544
M0357,7.624662911405369
M0358,7.594355211036172
M0359,6.963129591772609
M0360,6.6980306165292856
M0361,6.661274641049911
M0362,5.301648581768965
M0363,6.249031441940254
M0364,5.621212677880535
M0365,6.240741847021373
M0366,7.330446339745379
M0367,8.402432729433768
M0368,2.4947344294068956
M0369,5.062265160508916
M0370,7.634236820779004
M0371,8.907214334440905
M0372,8.02928001279461
M0373,8.311691754873488
M0374,4.9325499615673
M0375,5.309276693041846
M0376,9.158595340672662
M0377,7.247203775342293
M0378,5.216884469066803
M0379,8.730410310082465
M0380,8.437039644251252
M0381,11.41886250549278
M0382,6.029551763633105
M0383,5.066287975822443
M0384,5.236472014953771
M0385,6.879687406433369
M0386,9.483675799115836
M0387,5.867215847158171
M0388,10.603231513556224
M0389,9.811444093908262
M0390,5.230373249595133
M0391,10.37524320631285
M0392,9.371470213356481
M0393,8.011027359887606
M0394,6.835987777547956
M0395,6.72329829350243
M0396,6.1082177597833
M0397,7.822561234747991
M0398,13.553703191026589
M0399,8.464284056969086
