orig,rowid,orig_id,point_x,point_y,region,site,site_note,accuracy,surface,altitude,source,note,chrono1,chrono2,chrono1_label,chrono2_label
b,C0068,ADC-30119,-676931,-1071485,KH,Čáslav-Hrádek,NA,1,FALSE,260,Zápotocký 2001,NA,LgK,LgK II,LgK,LgK II
b,C0068,ADC-30119,-676931,-1071485,KH,Čáslav-Hrádek,NA,1,FALSE,260,Zápotocký 2001,NA,TRB,TRB Baalberg,TRB,TRB Baalberg
b,C0068,ADC-30119,-676931,-1071485,KH,Čáslav-Hrádek,NA,1,FALSE,260,Zápotocký 2001,NA,TRB,TRB Boleraz/Saalzm,TRB,TRB Boleraz/Saalzmund
b,C0069,ADC-15774; NA-JT-7207; NA-JT-7208; NA-JT-7209; NA-JT-7300,-630576,-1025080,"NA",Čáslavky-,Ppč. 74,2,TRUE,270,"BZO 1990-92; Kalferst J., Sigl J., Vokolek V. 1992: Zpravodaj KMVČ XVIII, 8-9.",NA,SBK,NA,SBK,NA
b,C0070,NA-JT-7304; NA-JT-7303,-630989,-1025126,"NA",Čáslavky-cihelna,NA,2,NA,274,"Šubrt V. 1949: Příspěvek k předhistorickému místopisu Jaroměřska, Jaroměřsko 3/4, 7-9.",NA,SBK,NA,SBK,NA
b,C0071,P-1313-00654,-718524,-1037919,PH,Čelákovice-J.A. Komenského,NA,2,NA,184,NA,NA,LgK,LgK II,LgK,LgK II
b,C0072,P-1313-01235; P-1313-01199,-719041,-1038599,PH,Čelákovice-V Rybníčkách,NA,2,FALSE,190,AMČR,NA,SBK,NA,SBK,NA
b,C0072,P-1313-01235; P-1313-01199,-719041,-1038599,PH,Čelákovice-V Rybníčkách,NA,2,FALSE,190,AMČR,NA,TRB,NA,TRB,NA
b,C0073,P-1313-00614,-718758,-1039327,PH,Čelákovice-býv. Švejdova cihelna,NA,3,FALSE,198,"Vávra 1981; Archiv M. Zápotocké, Kutná Hora","Stocký, Pravěk I, 166 BI",SBK,SBK Late,SBK,SBK Late
b,C0073,P-1313-00614,-718758,-1039327,PH,Čelákovice-býv. Švejdova cihelna,NA,3,FALSE,198,"Vávra 1981; Archiv M. Zápotocké, Kutná Hora","Stocký, Pravěk I, 166 BI",TRB,NA,TRB,NA
b,C0073,P-1313-00614,-718758,-1039327,PH,Čelákovice-býv. Švejdova cihelna,NA,3,FALSE,198,"Vávra 1981; Archiv M. Zápotocké, Kutná Hora","Stocký, Pravěk I, 166 BI",ENE,ENE Proto,Early Ene.,Proto Ene.
b,C0074,P-1313-00615,-718648,-1038601,PH,Čelákovice-S.K. Neumanna,NA,3,NA,184,AMČR,NA,TRB,NA,TRB,NA
b,C0075,AN – 1090,-740005,-1027168,PH,Čenkov-kamenolom,NA,2,TRUE,282,"archiv M. Zápotocké, Kutná Hora",M. Zápotocká lokalitu označuje jako Veliká Ves,SBK,NA,SBK,NA
b,C0076,P-1322-00106; ADC-15889; ADC-15889; P-1322-00182,-636976,-1031076,HK,Černožice nad Labem-konzervárna,marmeládovna,2,FALSE,248,Brožková 2017,NA,SBK,SBK Late,SBK,SBK Late
b,C0077,OS_HK_7044; P-1322-00366; ADC-15841; HK-1042; HK-1030; HK-1035,-636746,-1030642,HK,Černožice nad Labem-Gen. Svobody,"kulturní dům, Na Stezkách",2,FALSE,255,AMČR,NA,SBK,SBK Late,SBK,SBK Late
